"","x"
"1",-0.566873286056599
"2",1.59250475267013
"3",1.81959057802932
"4",-0.634732677564049
"5",-0.45232926183463
"6",-1.45964802884824
"7",0.496033982267402
"8",-0.450749037170954
"9",0.32508146964603
"10",0.301974097557009
"11",-1.00302217518844
"12",-1.54865757287636
"13",-0.146190127273755
"14",0.0523834662051486
"15",0.648560292070655
"16",2.18835058015734
"17",-0.487622106806092
"18",-1.12315258543576
"19",0.921705458723708
"20",2.13433058097568
"21",-1.36534372747272
"22",2.15421273951481
"23",0.978891957597524
"24",-0.104832211213219
"25",2.87144114428228
"26",0.820129496524356
"27",-0.198388495306219
"28",0.0632849897681552
"29",-1.03455298746811
"30",-0.395045980444016
"31",-2.12446895577349
"32",-0.212061893297351
"33",-0.393896383855648
"34",-0.102499747447834
"35",-0.504964505532142
"36",0.431639598782622
"37",-0.550410374398291
"38",-0.0349114296054523
"39",-0.461797179838069
"40",-0.460393581031984
"41",0.62096035830189
"42",-0.631923379048112
"43",-0.710220863669966
"44",0.580812580209732
"45",0.677619906646241
"46",1.55932031754081
"47",-0.0370109344091757
"48",-0.114018413748897
"49",-2.7623857983795
"50",1.01058917840484
"51",-0.0240255446576133
"52",-1.9788479511388
"53",2.26412745752517
"54",0.186844805269545
"55",2.26972494743566
"56",0.960752212169153
"57",0.183265478700574
"58",-0.833594692952928
"59",-0.117294902001471
"60",-1.02657905889985
"61",-0.500181466013783
"62",0.844288020587782
"63",-0.575770440299224
"64",-0.18920570301981
"65",1.37617581601872
"66",0.166881650844278
"67",-0.544131429227567
"68",0.82238061742869
"69",-0.0597645417565296
"70",-0.431657447961391
"71",-1.35674285447798
"72",-2.00872172289149
"73",0.173890298651978
"74",0.431439873126314
"75",1.05117737635138
"76",-0.814045417074743
"77",-1.78727690164711
"78",1.44556380272206
"79",-0.589623150119752
"80",-0.119479804390035
"81",-1.66802759431953
"82",1.39462443775878
"83",1.14142246226948
"84",0.48282180498436
"85",1.94780286924951
"86",0.054365450908084
"87",-1.24112026598317
"88",-0.465050244117479
"89",-0.597219198874609
"90",-1.18238676395585
"91",0.263852787980398
"92",0.854392140805121
"93",0.900423695431734
"94",0.791059221599463
"95",1.14613885768618
"96",1.33660904810137
"97",0.718148083755968
"98",-0.482681694023638
"99",0.00768177223027721
"100",-0.00217984079019165
"101",-0.231815714082623
"102",0.362121518040968
"103",-1.47259247362079
"104",-0.082059161711953
"105",0.285849349260687
"106",-1.2864724036389
"107",-1.93490833735497
"108",0.471963076504224
"109",-0.169558106928831
"110",-0.430626443368162
"111",-0.862986843590423
"112",2.40321988030064
